,movie,original_title
7769,92,Because I Said So
12382,93,Becoming Jane
5986,94,Bedazzled
12611,95,Beetlejuice
16583,96,Before Sunrise
16815,97,Before Sunset
13465,98,Being John Malkovich
15198,99,Bend It Like Beckham
1197,100,Beowulf
11614,101,Beverly Hills Cop II
5812,102,Beverly Hills Cop III
12255,103,Big
4031,104,Big Fish
11017,105,Big Trouble in Little China
11768,106,Bill & Ted's Bogus Journey
14235,107,Bill & Ted's Excellent Adventure
15368,108,Billy Elliot
13508,109,Birthday Girl
9150,110,Black Rain
9641,111,Blade Runner
11023,112,Blindness
2225,113,Blood Diamond
9044,114,Blow
18049,115,Blue Like Jazz
8808,116,Bogus
11753,117,Boogeyman
12905,118,Boogie Nights
12256,119,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
16146,120,Bowling for Columbine
14985,121,Boyz n the Hood
13026,122,Brazil
7922,123,Breakdown
8788,124,Bridesmaids
10476,125,Bridge to Terabithia
18102,126,Brigham City
14211,127,Bring It On
13796,128,Brother
9988,129,Brothers
15457,130,C'era una volta il West
8055,131,Cape Fear
1281,132,Captain America: The First Avenger
4820,133,Captain Corelli's Mandolin
3527,134,Carriers
3800,135,Cars
314,136,Cars 2
18060,137,Casablanca
5290,138,Casino
4904,139,Casper
16162,140,Cat on a Hot Tin Roof
5273,141,Catch Me If You Can
13331,142,Catch a Fire
2277,143,Catwoman
5072,144,Changeling
6508,145,Changing Lanes
3432,146,Charlie Wilson's War
760,147,Charlie and the Chocolate Factory
2446,148,Charlie's Angels
18485,149,Chasing Amy
8747,150,Chill Factor
10329,151,Chocolat
2614,152,Cinderella Man
18569,153,Clerks
15366,154,Clerks II
11612,155,Close Encounters of the Third Kind
8614,156,Closer
14657,157,Code 46
3106,158,Cold Mountain
3077,159,Con Air
9410,160,Confessions of a Dangerous Mind
17037,161,Conquest of the Planet of the Apes
10687,162,Contraband
13280,163,Cool Runnings
12807,164,Cop Land
14090,165,Copying Beethoven
9152,166,Corpse Bride
13729,167,Crank
14305,168,Crash
4910,169,Crimson Tide
18521,170,Cube
2391,171,Cutthroat Island
16070,172,D.E.B.S.
12380,173,Damnation Alley
13566,174,Dancer in the Dark
12154,175,Dances with Wolves
13027,176,Dark Blue
13764,177,Das Boot
16809,178,Das Leben der Anderen
16267,179,Dave Chappelle's Block Party
9470,180,Dawn of the Dead
4501,181,Days of Thunder
16509,182,De jurk
13972,183,Dead Man Walking
12393,184,Dead Poets Society
15534,185,Dear Frankie
12111,186,Deconstructing Harry
4509,187,Deep Blue Sea
3066,188,Deep Impact
13332,189,Der Untergang
11328,190,Derailed
3677,191,Deux frères
14758,192,Diamonds Are Forever
18166,193,Die Büchse der Pandora
9438,194,Die Hard
3894,195,Die Hard 2
2462,196,Die Hard: With a Vengeance
4936,197,Disclosure
13965,198,Doctor Zhivago
18391,199,Dogtown and Z-Boys
10977,200,Don Juan DeMarco
15602,201,Donnie Darko
4061,202,Doom
16915,203,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
7172,204,Dracula
4789,205,DragonHeart
12293,206,Dragonslayer
3437,207,Dreamgirls
13370,208,"Dude, Where’s My Car?"
6616,209,Dune
